""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	11,239.0	174.0 11,413.0
Largo Plazo	6,971.7	174.0 7,145.7
Corto Plazo	4,267.3	0.0 4,267.3
Estructura por Usuario	11,239.0	174.0 11,413.0
Gobierno Federal	9,456.6	172.7 9,629.3
Largo Plazo	5,361.5	172.7 5,534.2
Corto Plazo	4,095.1	0.0 4,095.1
Empresas Productivas del Estado 1_/	830.9	1.3 832.2
Largo Plazo	703.0	1.3 704.3
Corto Plazo	127.9	0.0 127.9
Banca de Desarrollo	951.5	0.0 951.5
Largo Plazo	907.2	0.0 907.2
Corto Plazo	44.3	0.0 44.3
Estructura por Fuente de Financiamiento	11,239.0	174.0 11,413.0
Emisión de Valores	10,235.5	122.5 10,358.0
Fondo de Ahorro S.A.R.	271.0	0.0 271.0
Banca Comercial	477.4	0.0 477.4
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0 0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	255.1	51.5 306.6
