
""	A. Ingresos presupuestarios			403,923.0			428,932.1			2.9						3,416,876.6			3,479,896.8			-2.1	
""																							
""	Petroleros1_/	86,429.5	62,816.2	-29.5		654,165.4	546,153.6	-19.7															
""	Gobierno Federal			47,819.9			26,335.8			-46.6						359,771.4			296,517.0			-20.7	
""	Pemex			38,609.6			36,480.			-8.4						294,394.0			249,636.6			-18.5	
""	No petroleros			317,493.5			366,116.			11.8						2,762,711.2			2,933,743.2			2.1	
""	Gobierno Federal			247,182.0			292,781.2			14.8						2,261,210.0			2,387,240.1			1.5	
""	Tributarios			234,319.5			244,371.3			1.1						2,067,471.4			2,202,585.8			2.5	
""	No tributarios			12,862.5			48,410.			264.8						193,738.6			184,654.3			-8.3	
""	Organismos de control presupuestario directo			33,653.8			36,023.			3.8						260,170.3			276,717.7			2.3	
""	IMSS			29,753.7			31,887.			3.9						225,569.8			247,223.8			5.4	
""	ISSSTE			3,900.1			4,136.5			2.8						34,600.5			29,493.9			-18.0	
""	Empresa Productiva del Estado ( CFE )			36,657.7			37,310.8			-1.3						241,330.9			269,785.5			7.5	
""	B. Gasto neto pagado			431,724.5			392,421.9			-11.9						3,655,559.3			3,648,566.6			-4.0	
""																							
""	Programable	329,590.0	298,637.	-12.2		2,609,266.2	2,589,689.0	-4.6															
""	Gasto de operación			149,929.5			132,927.			-14.1						1,151,728.8			1,131,129.4			-5.6	
""	Servicios personales2_/			86,679.8			84,241.5			-5.8						734,756.5			729,085.0			-4.6	
""	Otros gastos de operación			63,249.7			48,685.			-25.4						416,972.4			402,044.4			-7.3	
""	Pensiones y jubilaciones			70,637.4			73,946.3			1.5						527,622.9			572,914.7			4.4	
""	Subsidios y transferencias y aportaciones3_/			49,400.8			35,946.1			-29.5						465,216.5			446,284.9			-7.7	
""	Ayudas y otros gastos			4,713.3			2,493.1			-48.7						29,962.1			19,103.8			-38.7	
""	Inversión física2_/			55,824.8			51,124.5			-11.2						423,648.8			373,364.1			-15.2	
""	Directo			25,121.7			29,278.			13.0						220,189.8			204,064.8			-10.9	
""	Indirecto			30,703.2			21,846.1			-31.0						203,459.0			169,299.3			-20.0	
""	Inversión financiera y otros 4_/			-915.9			2,200.			n.s.						11,087.2			46,892.1			306.7	
""	No programable			102,134.5			93,784.5			-11.0						1,046,293.1			1,058,877.6			-2.7	
""	Costo financiero			24,495.7			24,180.5			-4.3						388,818.3			424,107.9			4.9	
""	Intereses, comisiones y gastos			24,495.7			24,180.5			-4.3						350,649.8			372,768.0			2.2	
""	Gobierno Federal			13,022.9			11,752.			-12.5						245,206.7			274,424.7			7.6	
""	Sector paraestatal			11,472.8			12,428.1			5.0						105,443.1			98,343.3			-10.3	
""	Apoyo a ahorradores y deudores			0.0			0.			n.s.						38,168.5			51,339.9			29.4	
""	IPAB			0.0			0.			n.s.						38,168.5			45,431.7			14.5	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			76,934.9			71,926.7			-9.4						586,612.7			625,127.2			2.5	
""	Adefas y otros5_/			703.9			-2,322.			n.s.						70,862.1			9,642.5			-86.9	
""	C. Balance presupuestario (A – B)			-27,801.6			36,510.			n.s.						-238,682.7			-168,669.7			n.s.	
""																							
""	D. Balance no presupuestario	-3,651.4	-1,542.	n.s.		7,842.9	50,564.0	-o-															
""	E. Balance público (C + D) = (F + G)			-31,453.0			34,967.9			n.s.						-230,839.8			-118,105.8			n.s.	
""	Balance público sin inversión6_/			24,011.1			85,860.4			246.6						189,509.6			254,256.8			29.0	
""																							
""	F. Recursos externos	-2,893.8	9,240.5	n.s.		133,816.5	200,457.1	44.1															
""	G. Recursos internos			34,346.8			-44,208.			n.s.						97,023.3			-82,351.3			n.s.	
""	Partidas informativas																						
""	Ingresos tributarios			234,319.5			244,371.1			1.1						2,067,470.3			2,202,628.1			2.5	
""	Ingresos no tributarios			169,603.5			184,561.1			5.5						1,349,406.2			1,277,268.7			-9.0	
