1. Ingresos presupuestarios3_/	4,626.0	5,106.0
2. Ingresos tributarios	2,855.1	3,048.4
3. Ingresos tributarios sin IEPS de		
combustibles	2,638.6	2,863.8
4. Gasto neto total sin		
erogaciones en inversiones		
financieras, pago de pensiones,		
participaciones y costo		
financiero	2,915.3	3,216.7
5. Gasto neto total sin		
erogaciones en inversiones		
financieras, pago de pensiones		
y participaciones	3,448.4	3,847.0
6. Gasto neto total sin		
erogaciones en inversiones		
financieras	4,926.9	5,487.4
7. Gasto neto total3_/	5,182.6	5,572.7
8. Gasto corriente estructural	2,219.2	2,162.1
9. Balance primario	304.8	164.1
10. RFSP	-233.0	-584.7
11. SHRFSP	10,031.8	10,669.3
12. Deuda pública	10,090.6	10,698.5
