""		
""	SITUACIÓN FINANCIERA DEL SECTOR PÚBLICO	
""	(Millones de pesos)	
""	Diciembre Enero-diciembre	
Concepto	Crec. 2017 2018 p_/ Crec. 2017 2018p_/	
""	real %	real %
""		
A. Ingresos presupuestarios1_/	422,918.3 458,282.8 3.4 4,947,608.3 5,113,103.1	-1.5
Petroleros2_/	77,635.6 93,714.8 15.1 827,150.0 978,589.2	12.8
Gobierno Federal	38,579.6 47,084.1 16.4 437,346.3 541,747.2	18.1
Pemex	39,056.1 46,630.7 13.9 389,803.7 436,842.0	6.8
No petroleros	345,282.7 364,568.0 0.7 4,120,458.4 4,134,513.9	-4.3
Gobierno Federal	278,033.5 282,317.1 -3.1 3,400,724.0 3,329,881.6	-6.7
Tributarios	254,256.8 271,533.7 1.9 2,855,056.9 3,062,331.4	2.2
No tributarios1_/3_/	23,776.7 10,783.3 -56.7 545,667.1 267,550.2	-53.3
Organismos de control presupuestario directo	34,246.3 34,852.7 -2.9 361,850.1 395,796.6	4.3
IMSS	28,971.2 30,132.2 -0.8 312,638.2 345,395.3	5.3
ISSSTE	5,275.1 4,720.4 -14.6 49,211.9 50,401.3	-2.4
Empresa Productiva del Estado ( CFE )	33,002.8 47,398.3 37.0 357,884.3 408,835.7	8.9
B. Gasto neto pagado	711,429.6 622,037.0 -16.6 5,182,638.4 5,592,151.8	2.9
Programable	507,743.5 397,562.9 -25.3 3,857,121.9 4,067,714.1	0.5
Gasto de operación	236,803.0 221,814.5 -10.6 1,718,906.8 1,865,857.7	3.5
Servicios personales4_/	171,374.9 166,387.0 -7.4 1,147,025.5 1,213,068.3	0.8
Otros gastos de operación	65,428.1 55,427.5 -19.2 571,881.2 652,789.4	8.8
Pensiones y jubilaciones	44,692.0 43,929.5 -6.2 706,195.8 792,663.9	7.0
Subsidios y transferencias y aportaciones5_/	52,215.5 41,615.6 -24.0 629,907.9 645,321.5	-2.3
Ayudas y otros gastos	15,373.4 1,759.6 -89.1 10,537.0 40,698.0	268.2
Inversión física4_/	50,901.8 49,276.5 -7.7 569,551.2 617,614.2	3.4
Directo	38,818.0 39,427.7 -3.1 321,225.6 346,640.0	2.9
Indirecto	12,083.8 9,848.8 -22.3 248,325.6 270,974.2	4.0
Inversión financiera y otros 6_/	107,757.8 39,167.2 -65.3 222,023.2 105,558.8	-54.7
No programable	203,686.2 224,474.1 5.1 1,325,516.5 1,524,437.7	9.6
Costo financiero	145,368.8 161,289.3 5.8 533,115.2 615,040.6	10.0
Intereses, comisiones y gastos	145,368.8 161,289.3 5.8 497,153.3 576,872.1	10.6
Gobierno Federal	131,374.2 147,102.3 6.8 373,936.9 428,929.7	9.3
Sector paraestatal	13,994.6 14,187.0 -3.3 123,216.4 147,942.4	14.5
Apoyo a ahorradores y deudores	0.0 0.0 n.s. 35,961.9 38,168.5	1.2
IPAB	0.0 0.0 n.s. 22,445.6 38,168.5	62.1
Otros	0.0 0.0 n.s. 13,516.3 0.0	n.s.
Participaciones	57,101.5 67,106.6 12.1 772,417.6 843,665.3	4.1
Adefas y otros3_/7_/	1,215.9 -3,921.7 n.s. 19,983.7 65,731.8	213.6
C. Balance presupuestario (A – B)	-288,511.3 -163,754.2 n.s. -235,030.1 -479,048.7	n.s.
D. Balance no presupuestario	-19,680.6 -15,210.7 n.s. -3,442.3 -15,990.4	n.s.
E. Balance público (C + D) = (F + G)1_/	-308,191.9 -178,965.0 n.s. -238,472.4 -495,039.1	n.s.
Balance público sin inversión8_/	-275,769.1 -133,731.4 n.s. 100,149.0 -23,989.4	n.s.
F. Recursos externos	1,350.9 -2,924.4 n.s. 162,434.5 166,566.0	-2.2
G. Recursos internos	306,841.0 181,889.4 -43.5 76,037.8 328,473.1	311.8
Partidas informativas		
Ingresos tributarios	254,256.8 271,533.7 1.9 2,849,528.7 3,062,331.2	2.4
Ingresos no tributarios	168,661.5 186,749.1 5.6 2,098,079.7 2,050,771.9	-6.8
