""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	549.8	11.9 12.2	573.9
Largo Plazo	539.7	11.9 12.2	563.8
Corto Plazo	10.1	0.0 0.0	10.1
Estructura por Usuario	549.8	11.9 12.2	573.9
Gobierno Federal	152.1	0.0 11.2	163.3
Empresas Productivas del Estado 1_/	334.3	11.9 1.0	347.2
Banca de Desarrollo	63.4	0.0 0.0	63.4
Estructura por Fuente de Financiamiento	549.8	11.9 12.2	573.9
Mercado de Capitales	355.5	0.0 10.4	365.9
Organismos Financieros Internacionales (OFI’s)	110.8	0.0 1.1	111.9
Comercio Exterior	39.1	0.0 0.2	39.3
Mercado Bancario	27.4	11.9 0.5	39.8
Pidiregas	17.0	0.0 0.0	17.0
