""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	153,441.6	4,187.7 157,629.3
Largo Plazo	149,753.7	4,181.7 153,935.4
Corto Plazo	3,687.9	6.0 3,693.9
Estructura por Usuario	153,441.6	4,187.7 157,629.3
Gobierno Federal	150,201.2	4,159.6 154,360.8
Largo Plazo	147,020.6	4,159.6 151,180.2
Corto Plazo	3,180.6	0.0 3,180.6
Empresas Productivas del Estado 1_/	1,888.3	28.1 1,916.4
Largo Plazo	1,479.0	22.1 1,501.1
Corto Plazo	409.3	6.0 415.3
Banca de Desarrollo	1,352.1	0.0 1,352.1
Largo Plazo	1,254.1	0.0 1,254.1
Corto Plazo	98.0	0.0 98.0
Estructura por Fuente de Financiamiento	153,441.6	4,187.7 157,629.3
Emisión de Valores	151,826.5	4,123.4 155,949.9
Fondo de Ahorro S.A.R.	272.0	0.0 272.0
Banca Comercial	790.7	15.7 806.4
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0 0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	552.4	48.6 601.0
