""	Anual				% del PIB	
2019p_/ Concepto Dife-2018 Var. % Últ. Est. Obs. (IIIT) 1_/	2019p_/ Obs. Nominal Diferencia %		real	2018	Últ. Est. (IIIT) 1_/	rencia
""						
1. Ingresos presupuestarios3_/ 5,115.1 5,360.0	5,384.3 24.2	0.5	1.6	21.8	21.6	22.1 0.5
2. Ingresos tributarios 3,062.3 3,237.2	3,202.6 -34.6	-1.1	0.9	13.0	13.0	13.2 0.2
3. Ingresos tributarios sin IEPS de						
combustibles 2,874.7 2,933.4	2,905.1 -28.2	-1.0	-2.5	12.2	11.8	11.9 0.1
4. Gasto neto total sin						
erogaciones en inversiones						
financieras, pago de pensiones,						
participaciones y costo						
financiero 3,232.0 3,184.1	3,197.5 13.4	0.4	-4.5	13.8	12.8	13.1 0.3
5. Gasto neto total sin						
erogaciones en inversiones						
financieras, pago de pensiones						
y participaciones 3,847.1 3,892.9	3,864.0 -29.0	-0.7	-3.1	16.4	15.7	15.9 0.2
6. Gasto neto total sin						
erogaciones en inversiones						
financieras 5,483.8 5,679.7	5,619.8 -59.8	-1.1	-1.1	23.3	22.9	23.1 0.2
7. Gasto neto total3_/ 5,589.4 5,827.1	5,786.4 -40.7	-0.7	-0.1	23.8	23.4	23.8 0.4
8. Gasto corriente estructural 2,304.1 2,314.2	2,335.3 21.1	0.9	-2.2	9.8	9.3	9.6 0.3
9. Balance primario 141.4 242.3	275.7 33.5	13.8	88.2	0.6	1.0	1.1 0.1
10. RFSP -517.0 -681.0	-564.7 116.3	n.a.	n.a.	-2.2	-2.7	-2.3 0.4
11. SHRFSP 10,551.7 11,245.7	10,872.3 -373.4	-3.3	-0.6	44.9	45.3	44.7 -0.4
12. Deuda pública 10,829.9 11,378.0	11,027.5 -350.5	-3.1	-1.7	46.1	45.8	45.3 -0.5
