""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	1,169.7	3.4 8.7	1,181.8
Largo Plazo	1,166.2	3.4 8.7	1,178.3
Corto Plazo	3.5	0.0 0.0	3.5
Estructura por Usuario	1,169.7	3.4 8.7	1,181.8
Gobierno Federal	606.5	0.1 8.5	615.1
Empresas Productivas del Estado 1_/	540.5	3.3 0.2	544.0
Banca de Desarrollo	22.7	0.0 0.0	22.7
Estructura por Fuente de Financiamiento	1,169.7	3.4 8.7	1,181.8
Mercado de Capitales	977.4	0.0 7.6	985.0
Organismos Financieros Internacionales (OFI’s)	140.6	0.2 0.9	141.7
Comercio Exterior	8.1	0.0 0.2	8.3
Mercado Bancario	24.8	3.2 0.0	28.0
Pidiregas	18.8	0.0 0.0	18.8
