""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	17,303.6	153.5 17,457.1
Largo Plazo	12,429.6	153.5 12,583.1
Corto Plazo	4,874.0	0.0 4,874.0
Estructura por Usuario	17,303.6	153.5 17,457.1
Gobierno Federal	13,087.1	142.7 13,229.8
Largo Plazo	8,543.6	142.7 8,686.3
Corto Plazo	4,543.5	0.0 4,543.5
Empresas Productivas del Estado 1_/	3,266.8	10.8 3,277.6
Largo Plazo	3,092.9	10.8 3,103.7
Corto Plazo	173.9	0.0 173.9
Banca de Desarrollo	949.7	0.0 949.7
Largo Plazo	793.1	0.0 793.1
Corto Plazo	156.6	0.0 156.6
Estructura por Fuente de Financiamiento	17,303.6	153.5 17,457.1
Emisión de Valores	13,871.8	106.8 13,978.6
Fondo de Ahorro S.A.R.	266.9	0.0 266.9
Banca Comercial	1,196.7	0.5 1,197.2
Obligaciones por Ley del ISSSTE 2_/	0.7	0.0 0.7
Bonos de Pensión PEMEX  3_/	1,511.0	0.0 1,511.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	456.5	46.2 502.7
