""			
Concepto	Intereses		
""		Comisiones	
""		y Gastos	Total
""			
Estructura por Plazo	17,060.7	178.3	17,239.0
Largo Plazo	11,613.8	178.3	11,792.1
Corto Plazo	5,446.9	0.0	5,446.9
Estructura por Usuario	17,060.7	178.3	17,239.0
Gobierno Federal	12,164.7	165.4	12,330.1
Largo Plazo	7,254.7	165.4	7,420.1
Corto Plazo	4,910.0	0.0	4,910.0
Empresas Productivas del Estado 1_/	3,103.9	12.9	3,116.8
Largo Plazo	2,630.0	12.9	2,642.9
Corto Plazo	473.9	0.0	473.9
Banca de Desarrollo	1,792.1	0.0	1,792.1
Largo Plazo	1,729.1	0.0	1,729.1
Corto Plazo	63.0	0.0	63.0
Estructura por Fuente de Financiamiento	17,060.7	178.3	17,239.0
Emisión de Valores	15,183.3	119.6	15,302.9
Fondo de Ahorro S.A.R.	277.3	0.0	277.3
Banca Comercial	1,219.3	0.0	1,219.3
Obligaciones por Ley del ISSSTE 2_/	0.8	0.0	0.8
Bonos de Pensión PEMEX  3_/	0.0	0.0	0.0
Bonos de Pensión CFE  4_/	0.0	0.0	0.0
Otros	380.0	58.7	438.7
