""	Enero	Varia ción		Anual	Avance % respecto a:
Concepto	2019p_/ 2020p_/	% real	2019p_/	20201_/	2019 2020
""					
1. Ingresos presupuestarios	446.0 540.3	17.3	5,384.3	5,523.3	8.3 9.8
2. Ingresos tributarios	318.5 364.6	10.9	3,202.6	3,505.8	9.9 10.4
3. Ingresos tributarios sin IEPS de					
combustibles	288.8 335.2	12.4	2,905.1	3,163.8	9.9 10.6
4. Gasto neto total sin erogaciones					
en inversiones financieras, pago					
de pensiones, participaciones y					
costo financiero	261.7 244.5	-9.5	3,197.5	3,319.1	8.2 7.4
5. Gasto neto total sin erogaciones					
en inversiones financieras, pago					
de pensiones y participaciones	328.3 307.7	-9.2	3,864.0	4,046.5	8.5 7.6
6. Gasto neto total sin erogaciones					
en inversiones financieras	486.9 480.7	-4.4	5,619.8	5,963.2	8.7 8.1
7. Gasto neto total	507.9 504.1	-3.9	5,786.4	6,070.1	8.8 8.3
8. Gasto corriente estructural	159.3 166.7	1.3	2,335.3	2,415.2	6.8 6.9
9. Balance primario	9.8 100.2	- o -	275.7	180.7	3.6 55.5
10. RFSP	-17.0 9.1	n.a.	-564.7	-678.5	3.0 -1.3
11. SHRFSP	10,456.2 10,832.0	0.3	10,872.3	11,961.6	96.2 90.6
12. Deuda pública	10,801.0 11,089.6	-0.5	11,027.5	12,013.6	97.9 92.3
