""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	1,028.5	1.8 8.0	1,038.3
Largo Plazo	1,013.3	1.8 8.0	1,023.1
Corto Plazo	15.2	0.0 0.0	15.2
Estructura por Usuario	1,028.5	1.8 8.0	1,038.3
Gobierno Federal	341.4	0.2 8.0	349.6
Empresas Productivas del Estado 1_/	651.1	1.6 0.0	652.7
Banca de Desarrollo	36.0	0.0 0.0	36.0
Estructura por Fuente de Financiamiento	1,028.5	1.8 8.0	1,038.3
Mercado de Capitales	902.6	0.0 6.1	908.7
Organismos Financieros Internacionales (OFI’s)	80.5	0.2 1.8	82.5
Comercio Exterior	4.5	0.0 0.1	4.6
Mercado Bancario	37.3	1.6 0.0	38.9
Pidiregas	3.6	0.0 0.0	3.6
