""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	9,984.9	122.6 10,107.5
Largo Plazo	6,410.5	122.6 6,533.1
Corto Plazo	3,574.4	0.0 3,574.4
Estructura por Usuario	9,984.9	122.6 10,107.5
Gobierno Federal	8,297.3	122.6 8,419.9
Largo Plazo	4,978.3	122.6 5,100.9
Corto Plazo	3,319.0	0.0 3,319.0
Empresas Productivas del Estado 1_/	870.5	0.0 870.5
Largo Plazo	696.6	0.0 696.6
Corto Plazo	173.9	0.0 173.9
Banca de Desarrollo	817.1	0.0 817.1
Largo Plazo	735.6	0.0 735.6
Corto Plazo	81.5	0.0 81.5
Estructura por Fuente de Financiamiento	9,984.9	122.6 10,107.5
Emisión de Valores	7,910.8	79.6 7,990.4
Fondo de Ahorro S.A.R.	276.1	0.0 276.1
Banca Comercial	553.7	0.0 553.7
Obligaciones por Ley del ISSSTE 2_/	21.7	0.0 21.7
Bonos de Pensión PEMEX  3_/	979.6	0.0 979.6
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	243.0	43.0 286.0
