""	Enero-febrero	Varia ción		Anual		Avance % respecto a:
Concepto	2018p_/ 2019p_/	% real	2018 p_/		20191_/	2018 2019
""						
1. Ingresos presupuestarios	853.2 853.9	-3.9	5,113.1		5,298.2	16.7 16.1
2. Ingresos tributarios	536.6 577.8	3.4	3,062.3		3,311.4	17.5 17.4
3. Ingresos tributarios sin IEPS de						
combustibles	508.6 526.0	-0.7	2,874.7		3,042.1	17.7 17.3
4. Gasto neto total sin erogaciones						
en inversiones financieras, pago						
de pensiones, participaciones y						
costo financiero	554.9 465.4	-19.5	3,235.0		3,209.7	17.2 14.5
5. Gasto neto total sin erogaciones						
en inversiones financieras, pago						
de pensiones y participaciones	636.6 560.0	-15.5	3,850.0		3,958.8	16.5 14.1
6. Gasto neto total sin erogaciones						
en inversiones financieras	918.8 876.4	-8.4	5,486.6		5,756.1	16.7 15.2
7. Gasto neto total	933.7 897.2	-7.7	5,592.2		5,802.0	16.7 15.5
8. Gasto corriente estructural	335.5 303.0	-13.3	2,307.1		2,314.2	14.5 13.1
9. Balance primario	7.3 57.7	- o -	143.7		245.7	5.0 23.5
10. RFSP	-44.6 -9.9	n.a.	-547.7		-629.0	8.1 1.6
11. SHRFSP	9,917.0 10,499.2	1.6	10,548.0		11,288.3	94.0 93.0
12. Deuda pública	10,017.3 10,815.7	3.7	10,829.9		11,363.9	92.5 95.2
