
""	A. Ingresos presupuestarios			388,974.4			405,985.4			0.4						853,155.6			853,944.7			-3.9	
""																							
""	Petroleros1_/	61,288.2	61,002.	-4.2		150,521.3	105,459.7	-32.7															
""	Gobierno Federal			45,236.0			34,252.5			-27.2						82,556.2			80,950.1			-5.9	
""	Pemex			16,052.2			26,750.5			60.3						67,965.1			24,509.6			-65.4	
""	No petroleros			327,686.1			344,982.5			1.3						702,634.3			748,485.0			2.3	
""	Gobierno Federal			259,910.9			280,341.			3.8						577,707.8			619,527.8			3.0	
""	Tributarios			238,355.6			259,254.1			4.6						536,572.6			577,751.5			3.4	
""	No tributarios			21,555.3			21,087.8			-5.9						41,135.1			41,776.3			-2.5	
""	Organismos de control presupuestario directo			29,908.5			32,622.7			4.9						60,231.8			65,781.0			4.9	
""	IMSS			26,893.8			29,750.			6.4						53,873.5			58,652.7			4.5	
""	ISSSTE			3,014.6			2,872.1			-8.3						6,358.3			7,128.3			7.6	
""	Empresa Productiva del Estado ( CFE )			37,866.8			32,017.8			-18.7						64,694.8			63,176.2			-6.2	
""	B. Gasto neto pagado			443,241.6			385,896.7			-16.2						933,700.0			897,160.5			-7.7	
""																							
""	Programable	300,136.4	260,160.	-16.6		639,606.4	629,713.0	-5.5															
""	Gasto de operación			118,993.4			117,822.3			-4.7						267,252.7			270,840.8			-2.7	
""	Servicios personales2_/			80,384.3			80,263.			-3.9						179,479.1			180,971.3			-3.2	
""	Otros gastos de operación			38,609.1			37,558.5			-6.4						87,773.7			89,869.5			-1.7	
""	Pensiones y jubilaciones			60,687.5			67,389.5			6.8						137,461.3			154,428.8			7.9	
""	Subsidios y transferencias y aportaciones3_/			64,874.4			37,930.			-43.7						107,944.8			81,424.0			-27.6	
""	Ayudas y otros gastos			4,971.4			-673.			n.s.						13,104.8			5,163.7			-62.2	
""	Inversión física2_/			49,377.2			37,906.			-26.1						98,974.2			97,104.0			-5.8	
""	Directo			22,265.5			19,756.8			-14.6						56,450.1			61,473.8			4.6	
""	Indirecto			27,111.7			18,149.1			-35.6						42,524.0			35,630.3			-19.6	
""	Inversión financiera y otros 4_/			1,232.6			-214.1			n.s.						14,868.5			20,751.7			34.0	
""	No programable			143,105.1			125,736.			-15.5						294,093.6			267,447.5			-12.7	
""	Costo financiero			23,002.5			24,697.7			3.3						81,762.4			94,602.9			11.1	
""	Intereses, comisiones y gastos			23,002.5			24,697.7			3.3						62,593.9			65,978.8			1.2	
""	Gobierno Federal			10,695.8			13,522.2			21.6						28,057.3			36,499.8			24.9	
""	Sector paraestatal			12,306.7			11,175.5			-12.6						34,536.6			29,479.1			-18.0	
""	Apoyo a ahorradores y deudores			0.0			0.			n.s.						19,168.5			28,624.0			43.4	
""	IPAB			0.0			0.			n.s.						19,168.5			22,715.9			13.8	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			75,353.2			90,389.1			15.4						144,722.0			162,000.3			7.5	
""	Adefas y otros5_/			44,749.4			10,649.			-77.1						67,609.2			10,844.4			-84.6	
""	C. Balance presupuestario (A – B)			-54,267.2			20,088.7			n.s.						-80,544.4			-43,215.8			n.s.	
""																							
""	D. Balance no presupuestario	6,882.0	-4,979.	n.s.		12,740.3	15,589.4	17.5															
""	E. Balance público (C + D) = (F + G)			-47,385.2			15,108.9			n.s.						-67,804.1			-27,626.4			n.s.	
""	Balance público sin inversión6_/			1,679.4			52,964.1			-o-						30,593.3			69,324.6			117.6	
""																							
""	F. Recursos externos	31,889.5	16,637.3	-49.8		97,863.1	93,584.7	-8.2															
""	G. Recursos internos			15,495.7			-31,746.2			n.s.						-30,058.9			-65,958.3			n.s.	
""	Partidas informativas																						
""	Ingresos tributarios			238,355.6			259,254.1			4.6						536,572.6			577,751.5			3.4	
""	Ingresos no tributarios			150,618.7			146,731.3			-6.3						316,583.0			276,193.2			-16.2	
