""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	1,284.4	3.0 103.7	1,391.1
Largo Plazo	1,267.1	3.0 103.7	1,373.8
Corto Plazo	17.3	0.0 0.0	17.3
Estructura por Usuario	1,284.4	3.0 103.7	1,391.1
Gobierno Federal	668.7	0.1 23.8	692.6
Empresas Productivas del Estado 1_/	592.8	2.9 79.9	675.6
Banca de Desarrollo	22.9	0.0 0.0	22.9
Estructura por Fuente de Financiamiento	1,284.4	3.0 103.7	1,391.1
Mercado de Capitales	1,064.2	0.0 22.9	1,087.1
Organismos Financieros Internacionales (OFI’s)	145.1	0.2 0.9	146.2
Comercio Exterior	8.7	0.0 7.7	16.4
Mercado Bancario	47.7	2.8 72.2	122.7
Pidiregas	18.7	0.0 0.0	18.7
