""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	14,302.7	135.3 14,438.0
Largo Plazo	11,495.8	135.3 11,631.1
Corto Plazo	2,806.9	0.0 2,806.9
Estructura por Usuario	14,302.7	135.3 14,438.0
Gobierno Federal	9,943.3	125.6 10,068.9
Largo Plazo	7,331.2	125.6 7,456.8
Corto Plazo	2,612.1	0.0 2,612.1
Empresas Productivas del Estado 1_/	3,319.4	9.7 3,329.1
Largo Plazo	3,183.9	9.7 3,193.6
Corto Plazo	135.5	0.0 135.5
Banca de Desarrollo	1,040.0	0.0 1,040.0
Largo Plazo	980.7	0.0 980.7
Corto Plazo	59.3	0.0 59.3
Estructura por Fuente de Financiamiento	14,302.7	135.3 14,438.0
Emisión de Valores	12,518.9	89.1 12,608.0
Fondo de Ahorro S.A.R.	0.0	0.0 0.0
Banca Comercial	1,175.2	0.6 1,175.8
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0 0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	608.6	45.6 654.2
