
""	A. Ingresos presupuestarios			510,964.4			428,244.1			-19.2						3,012,953.6			3,050,852.3			-2.7	
""																							
""	Petroleros1_/	92,059.6	70,710.8	-26.0		567,735.9	483,337.4	-18.2															
""	Gobierno Federal			46,526.2			36,737.			-23.9						311,951.5			270,181.2			-16.8	
""	Pemex			45,533.4			33,973.			-28.1						255,784.4			213,156.2			-20.0	
""	No petroleros			418,904.8			357,533.3			-17.8						2,445,217.7			2,567,514.8			0.9	
""	Gobierno Federal			352,356.4			286,137.5			-21.8						2,014,028.0			2,094,458.8			-0.1	
""	Tributarios			275,075.2			264,157.8			-7.5						1,833,151.9			1,958,214.5			2.6	
""	No tributarios			77,281.2			21,979.8			-72.6						180,876.1			136,244.3			-27.6	
""	Organismos de control presupuestario directo			33,178.5			34,104.			-1.0						226,516.4			240,581.4			2.0	
""	IMSS			28,333.5			31,083.			5.7						195,816.0			215,336.4			5.6	
""	ISSSTE			4,845.0			3,021.			-39.9						30,700.4			25,245.0			-21.0	
""	Empresa Productiva del Estado ( CFE )			33,370.0			37,291.1			7.7						204,673.2			232,474.6			9.1	
""	B. Gasto neto pagado			434,672.6			479,840.6			6.4						3,223,834.8			3,255,891.1			-3.0	
""																							
""	Programable	322,987.1	366,496.3	9.3		2,279,676.2	2,290,837.5	-3.5															
""	Gasto de operación			151,412.7			168,237.3			7.1						1,001,799.3			998,009.1			-4.3	
""	Servicios personales2_/			107,823.1			108,908.			-2.7						648,076.6			644,667.5			-4.4	
""	Otros gastos de operación			43,589.5			59,328.7			31.1						353,722.7			353,341.6			-4.0	
""	Pensiones y jubilaciones			66,599.6			71,633.8			3.6						456,985.5			498,968.4			4.9	
""	Subsidios y transferencias y aportaciones3_/			51,342.2			72,919.			36.9						415,815.6			410,311.8			-5.2	
""	Ayudas y otros gastos			697.3			2,362.1			226.4						25,248.7			16,615.1			-36.8	
""	Inversión física2_/			51,334.8			49,625.8			-6.9						367,823.9			322,240.9			-15.8	
""	Directo			28,918.3			27,833.			-7.3						195,068.1			174,788.5			-13.9	
""	Indirecto			22,416.6			21,792.			-6.3						172,755.8			147,452.4			-18.0	
""	Inversión financiera y otros 4_/			1,600.5			1,717.			3.4						12,003.1			44,692.1			257.7	
""	No programable			111,685.5			113,344.3			-2.2						944,158.6			965,053.6			-1.8	
""	Costo financiero			32,550.3			37,977.7			12.4						364,322.5			399,927.4			5.4	
""	Intereses, comisiones y gastos			32,550.3			37,977.7			12.4						326,154.0			348,587.5			2.7	
""	Gobierno Federal			18,314.9			21,301.1			12.1						232,183.7			262,672.3			8.7	
""	Sector paraestatal			14,235.4			16,676.			12.9						93,970.3			85,915.2			-12.2	
""	Apoyo a ahorradores y deudores			0.0			0.			n.s.						38,168.5			51,339.9			29.2	
""	IPAB			0.0			0.			n.s.						38,168.5			45,431.7			14.3	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			73,342.5			76,411.7			0.4						509,677.8			553,161.0			4.3	
""	Adefas y otros5_/			5,792.7			-1,045.1			n.s.						70,158.2			11,965.2			-83.6	
""	C. Balance presupuestario (A – B)			76,291.8			-51,596.			n.s.						-210,881.2			-205,038.8			n.s.	
""																							
""	D. Balance no presupuestario	-68,947.2	18,444.4	n.s.		11,494.3	51,965.1	334.3															
""	E. Balance público (C + D) = (F + G)			7,344.5			-33,152.2			n.s.						-199,386.8			-153,073.7			n.s.	
""	Balance público sin inversión6_/			58,361.9			16,330.6			-73.0						165,498.5			168,397.8			-2.3	
""																							
""	F. Recursos externos	2,165.5	53,846.1	-o-		136,710.3	191,520.1	34.6															
""	G. Recursos internos			-9,510.0			-20,693.			n.s.						62,676.5			-38,446.4			n.s.	
""	Partidas informativas																						
""	Ingresos tributarios			275,074.3			264,157.8			-7.5						1,833,150.8			1,958,257.0			2.6	
""	Ingresos no tributarios			235,890.2			164,086.3			-33.0						1,179,802.8			1,092,595.3			-11.0	
