""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	603.9	1.0 2.0	606.9
Largo Plazo	589.6	1.0 2.0	592.6
Corto Plazo	14.3	0.0 0.0	14.3
Estructura por Usuario	603.9	1.0 2.0	606.9
Gobierno Federal	91.5	0.2 1.5	93.2
Empresas Productivas del Estado 1_/	445.5	0.8 0.5	446.8
Banca de Desarrollo	66.9	0.0 0.0	66.9
Estructura por Fuente de Financiamiento	603.9	1.0 2.0	606.9
Mercado de Capitales	391.2	0.0 0.7	391.9
Organismos Financieros Internacionales (OFI’s)	112.5	0.2 1.0	113.7
Comercio Exterior	47.4	0.0 0.3	47.7
Mercado Bancario	33.0	0.8 0.0	33.8
Pidiregas	19.8	0.0 0.0	19.8
