1. Ingresos			
presupuestarios	2,502.0	2,622.6	0.6
2. Ingresos tributarios	1,558.1	1,694.1	4.4
3. Ingresos tributarios sin			
IEPS de combustibles	1,474.3	1,546.2	0.7
4. Gasto neto total sin			
erogaciones en			
inversiones			
financieras, pago de			
pensiones,			
participaciones y			
costo financiero	1,620.3	1,466.7	-13.1
5. Gasto neto total sin			
erogaciones en			
inversiones			
financieras, pago de			
pensiones y			
participaciones	1,952.0	1,828.7	-10.1
6. Gasto neto total sin			
erogaciones en			
inversiones financieras	2,778.8	2,732.8	-5.6
7. Gasto neto total	2,789.2	2,775.7	-4.5
8. Gasto corriente			
estructural	1,118.9	1,050.2	-9.9
9. Balance primario	126.9	228.1	72.6
10. RFSP	-236.3	-60.9	n.a.
11. SHRFSP	10,379.6	10,559.7	-2.3
12. Deuda pública	10,532.8	10,965.2	-0.1
