""			
Concepto	Intereses		
""		Comisiones	
""		y Gastos	Total
""			
Estructura por Plazo	21,608.1	587.7	22,195.8
Largo Plazo	18,037.1	575.5	18,612.6
Corto Plazo	3,571.0	12.2	3,583.2
Estructura por Usuario	21,608.1	587.7	22,195.8
Gobierno Federal	16,180.0	567.0	16,747.0
Largo Plazo	12,883.8	567.0	13,450.8
Corto Plazo	3,296.2	0.0	3,296.2
Empresas Productivas del Estado 1_/	3,432.4	20.7	3,453.1
Largo Plazo	3,261.7	8.5	3,270.2
Corto Plazo	170.7	12.2	182.9
Banca de Desarrollo	1,995.7	0.0	1,995.7
Largo Plazo	1,891.6	0.0	1,891.6
Corto Plazo	104.1	0.0	104.1
Estructura por Fuente de Financiamiento	21,608.1	587.7	22,195.8
Emisión de Valores	19,207.1	537.7	19,744.8
Fondo de Ahorro S.A.R.	242.3	0.0	242.3
Banca Comercial	514.1	12.2	526.3
Obligaciones por Ley del ISSSTE 2_/	17.4	0.0	17.4
Bonos de Pensión PEMEX  3_/	1,062.8	0.0	1,062.8
Bonos de Pensión CFE  4_/	0.0	0.0	0.0
Otros	564.4	37.8	602.2
