1. Ingresos			
presupuestarios	1,259.4	1,295.4	-1.2
2. Ingresos tributarios	784.4	858.0	5.1
3. Ingresos tributarios sin	741.3	780.6	1.1
IEPS de combustibles			
4. Gasto neto total sin	820.2	723.5	-15.3
erogaciones en			
inversiones			
financieras, pago de			
pensiones,			
participaciones y			
costo financiero			
5. Gasto neto total sin	945.9	862.4	-12.4
erogaciones en			
inversiones			
financieras, pago de			
pensiones y			
participaciones			
6. Gasto neto total sin	1,358.7	1,314.0	-7.1
erogaciones en			
inversiones financieras			
7. Gasto neto total	1,376.8	1,345.4	-6.1
8. Gasto corriente			
estructural	538.7	502.5	-10.4
9. Balance primario	38.2	98.0	146.4
10. RFSP	-57.0	-17.8	n.a.
11. SHRFSP	9,933.0	10,523.8	1.8
12. Deuda pública	10,034.2	10,846.9	3.8
