""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	1,116.6	11.2 7.0	1,134.8
Largo Plazo	1,114.9	11.2 7.0	1,133.1
Corto Plazo	1.7	0.0 0.0	1.7
Estructura por Usuario	1,116.6	11.2 7.0	1,134.8
Gobierno Federal	490.3	0.0 6.7	497.0
Empresas Productivas del Estado 1_/	614.4	11.2 0.3	625.9
Banca de Desarrollo	11.9	0.0 0.0	11.9
Estructura por Fuente de Financiamiento	1,116.6	11.2 7.0	1,134.8
Mercado de Capitales	994.0	0.0 6.2	1,000.2
Organismos Financieros Internacionales (OFI’s)	30.7	0.0 0.4	31.1
Comercio Exterior	4.4	0.0 0.4	4.8
Mercado Bancario	52.7	11.2 0.0	63.9
Pidiregas	34.8	0.0 0.0	34.8
