""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Compromiso	
""		Otras	
""			
Estructura por Plazo	294.4	0.2 1.4	296.0
Largo Plazo	272.3	0.2 1.4	273.9
Corto Plazo	22.1	0.0 0.0	22.1
Estructura por Usuario	294.4	0.2 1.4	296.0
Gobierno Federal	123.6	0.0 1.4	125.0
Empresas Productivas del Estado 1_/	135.1	0.2 0.0	135.3
Banca de Desarrollo	35.7	0.0 0.0	35.7
Estructura por Fuente de Financiamiento	294.4	0.2 1.4	296.0
Mercado de Capitales	106.7	0.0 0.3	107.0
Organismos Financieros Internacionales (OFI’s)	122.4	0.0 1.1	123.5
Comercio Exterior	14.2	0.0 0.0	14.2
Mercado Bancario	43.1	0.2 0.0	43.3
Pidiregas	8.0	0.0 0.0	8.0
