""			
Concepto	Intereses		
""		Comisiones	
""		y Gastos	Total
""			
Estructura por Plazo	17,903.2	163.6	18,066.8
Largo Plazo	14,715.7	163.6	14,879.3
Corto Plazo	3,187.5	0.0	3,187.5
Estructura por Usuario	17,903.2	163.6	18,066.8
Gobierno Federal	12,628.9	162.5	12,791.4
Largo Plazo	9,717.0	162.5	9,879.5
Corto Plazo	2,911.9	0.0	2,911.9
Empresas Productivas del Estado 1_/	3,988.7	1.1	3,989.8
Largo Plazo	3,820.6	1.1	3,821.7
Corto Plazo	168.1	0.0	168.1
Banca de Desarrollo	1,285.6	0.0	1,285.6
Largo Plazo	1,178.1	0.0	1,178.1
Corto Plazo	107.5	0.0	107.5
Estructura por Fuente de Financiamiento	17,903.2	163.6	18,066.8
Emisión de Valores	15,489.9	111.6	15,601.5
Fondo de Ahorro S.A.R.	252.3	0.0	252.3
Banca Comercial	547.9	0.7	548.6
Obligaciones por Ley del ISSSTE 2_/	1.3	0.0	1.3
Bonos de Pensión PEMEX  3_/	1,235.2	0.0	1,235.2
Bonos de Pensión CFE  4_/	0.0	0.0	0.0
Otros	376.6	51.3	427.9
