
""	A. Ingresos presupuestarios			378,237.4			413,058.1			4.7						2,095,375.5			2,199,504.4			0.7	
""																							
""	Petroleros1_/	74,942.1	79,211.2	1.4		398,074.7	342,602.0	-17.4															
""	Gobierno Federal			49,895.9			39,573.8			-23.9						214,952.1			192,497.3			-14.1	
""	Pemex			25,046.1			39,637.			51.8						183,122.6			150,104.6			-21.3	
""	No petroleros			303,295.3			333,846.			5.6						1,697,300.8			1,856,902.4			5.0	
""	Gobierno Federal			243,067.9			266,712.			5.2						1,398,765.0			1,528,698.7			4.9	
""	Tributarios			228,082.4			252,267.			6.1						1,306,361.4			1,425,768.2			4.7	
""	No tributarios			14,985.6			14,445.			-7.6						92,403.6			102,930.5			6.9	
""	Organismos de control presupuestario directo			32,340.5			33,924.8			0.6						159,242.4			168,266.2			1.4	
""	IMSS			27,773.7			30,830.1			6.4						138,491.8			151,637.1			5.1	
""	ISSSTE			4,566.8			3,094.7			-35.0						20,750.5			16,629.1			-23.1	
""	Empresa Productiva del Estado ( CFE )			27,886.9			33,209.2			14.2						139,293.5			159,937.5			10.2	
""	B. Gasto neto pagado			414,290.4			422,623.			-2.2						2,222,988.7			2,197,137.3			-5.1	
""																							
""	Programable	326,667.1	324,516.8	-4.7		1,622,633.4	1,592,153.3	-5.8															
""	Gasto de operación			160,872.8			146,856.			-12.5						701,815.7			693,311.7			-5.2	
""	Servicios personales2_/			98,383.0			95,257.			-7.2						448,571.6			450,379.8			-3.6	
""	Otros gastos de operación			62,489.8			51,598.			-20.8						253,244.1			242,931.9			-7.9	
""	Pensiones y jubilaciones			56,571.8			62,465.1			5.9						321,731.5			352,379.3			5.1	
""	Subsidios y transferencias y aportaciones3_/			56,107.2			62,506.2			6.8						299,237.7			265,847.9			-14.7	
""	Ayudas y otros gastos			6,275.8			2,312.			-64.7						22,095.6			11,825.2			-48.6	
""	Inversión física2_/			48,595.6			43,100.2			-14.9						259,242.8			225,699.3			-16.4	
""	Directo			24,659.1			20,999.5			-18.3						133,142.3			121,380.3			-12.5	
""	Indirecto			23,936.5			22,100.7			-11.5						126,100.4			104,319.1			-20.6	
""	Inversión financiera y otros 4_/			-1,756.1			7,276.			n.s.						18,510.1			43,089.8			123.4	
""	No programable			87,623.3			98,106.5			7.4						600,355.4			604,984.0			-3.3	
""	Costo financiero			14,444.2			19,231.3			27.7						181,732.9			201,914.8			6.6	
""	Intereses, comisiones y gastos			14,444.2			19,231.3			27.7						143,564.4			150,574.9			0.7	
""	Gobierno Federal			7,750.2			13,033.			61.3						74,838.8			91,641.9			17.5	
""	Sector paraestatal			6,694.0			6,198.			-11.2						68,725.6			58,933.0			-17.7	
""	Apoyo a ahorradores y deudores			0.0			0.			n.s.						38,168.5			51,339.9			29.1	
""	IPAB			0.0			0.			n.s.						38,168.5			45,431.7			14.2	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			76,613.9			82,373.			3.1						358,293.1			393,940.2			5.5	
""	Adefas y otros5_/			-3,434.8			-3,498.			n.s.						60,329.4			9,129.0			-85.5	
""	C. Balance presupuestario (A – B)			-36,053.0			-9,565.			n.s.						-127,613.2			2,367.0			n.s.	
""																							
""	D. Balance no presupuestario	-6,649.4	3,872.4	n.s.		90,714.0	29,984.1	-68.3															
""	E. Balance público (C + D) = (F + G)			-42,702.3			-5,692.			n.s.						-36,899.2			32,351.1			n.s.	
""	Balance público sin inversión6_/			5,399.7			37,243.			-o-						220,020.0			257,605.3			12.4	
""																							
""	F. Recursos externos	12,087.2	-2,343.5	n.s.		140,714.6	131,220.7	-10.5															
""	G. Recursos internos			30,615.2			8,036.			-74.8						-103,815.4			-163,571.9			n.s.	
""	Partidas informativas																						
""	Ingresos tributarios			228,082.3			252,267.2			6.1						1,306,361.3			1,425,810.7			4.7	
""	Ingresos no tributarios			150,155.1			160,790.8			2.7						789,014.3			773,693.7			-5.9	
