""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	334.9	1.1 1.2	337.2
Largo Plazo	328.1	1.1 1.2	330.4
Corto Plazo	6.8	0.0 0.0	6.8
Estructura por Usuario	334.9	1.1 1.2	337.2
Gobierno Federal	114.3	0.0 1.1	115.4
Empresas Productivas del Estado 1_/	186.0	0.9 0.1	187.0
Banca de Desarrollo	34.6	0.2 0.0	34.8
Estructura por Fuente de Financiamiento	334.9	1.1 1.2	337.2
Mercado de Capitales	171.3	0.0 0.1	171.4
Organismos Financieros Internacionales (OFI’s)	112.8	0.2 1.0	114.0
Comercio Exterior	13.9	0.0 0.1	14.0
Mercado Bancario	29.9	0.9 0.0	30.8
Pidiregas	7.0	0.0 0.0	7.0
