""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	14,516.0	372.2 14,888.2
Largo Plazo	11,256.7	133.7 11,390.4
Corto Plazo	3,259.3	238.5 3,497.8
Estructura por Usuario	14,516.0	372.2 14,888.2
Gobierno Federal	9,347.4	133.7 9,481.1
Largo Plazo	6,347.9	133.7 6,481.6
Corto Plazo	2,999.5	0.0 2,999.5
Empresas Productivas del Estado 1_/	3,925.0	238.5 4,163.5
Largo Plazo	3,735.9	0.0 3,735.9
Corto Plazo	189.1	238.5 427.6
Banca de Desarrollo	1,243.6	0.0 1,243.6
Largo Plazo	1,172.9	0.0 1,172.9
Corto Plazo	70.7	0.0 70.7
Estructura por Fuente de Financiamiento	14,516.0	372.2 14,888.2
Emisión de Valores	13,397.8	81.0 13,478.8
Fondo de Ahorro S.A.R.	270.0	0.0 270.0
Banca Comercial	504.2	238.5 742.7
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0 0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	344.0	52.7 396.7
