""		
""	SITUACIÓN FINANCIERA DEL SECTOR PÚBLICO	
""	(Millones de pesos)	
""	Noviembre Enero-noviembre	
Concepto	Crec. 2018 2019 p_/ Crec. 2018 2019 p_/	
""	real % real %	
""		
A. Ingresos presupuestarios	435,336.0 473,438.1 5.6 4,656,130.7 4,841,129.5	0.3
Petroleros1_/	87,314.4 74,375.1 -17.3 885,322.7 834,024.9	-9.2
Gobierno Federal	42,263.2 34,077.4 -21.7 494,663.1 397,946.5	-22.4
Pemex2_/	45,051.3 40,297.6 -13.1 390,659.6 436,078.4	7.6
No petroleros	348,021.5 399,063.0 11.4 3,770,808.0 4,007,104.6	2.5
Gobierno Federal	275,760.9 324,252.4 14.2 3,047,564.5 3,237,263.8	2.4
Tributarios	245,210.0 236,228.5 -6.4 2,790,797.6 2,921,494.4	0.9
No tributarios	30,550.9 88,024.0 179.8 256,766.9 315,769.4	18.6
Organismos de control presupuestario directo	32,945.5 34,442.7 1.5 361,806.1 381,562.8	1.7
IMSS	29,796.9 31,685.5 3.3 315,263.1 342,146.7	4.6
ISSSTE	3,148.6 2,757.2 -15.0 46,543.0 39,416.1	-18.3
Empresa Productiva del Estado ( CFE )	39,315.1 40,367.8 -0.3 361,437.4 388,278.0	3.6
B. Gasto neto pagado	454,463.6 477,710.9 2.1 4,966,298.8 5,057,710.2	-1.8
Programable	368,617.8 390,606.0 2.9 3,666,493.8 3,735,290.0	-1.8
Gasto de operación	187,858.4 169,864.0 -12.2 1,642,203.1 1,598,779.7	-6.1
Servicios personales3_/	123,507.3 118,343.1 -6.9 1,046,328.6 1,029,560.4	-5.1
Otros gastos de operación	64,351.1 51,520.8 -22.3 595,874.5 569,219.4	-7.9
Pensiones y jubilaciones	93,118.1 107,655.8 12.3 748,727.0 817,854.0	5.3
Subsidios y transferencias y aportaciones4_/	42,759.5 76,081.2 72.8 603,854.6 633,838.8	1.2
Ayudas y otros gastos	6,124.3 1,508.7 -76.1 36,907.1 30,532.2	-20.2
Inversión física3_/	41,014.9 33,439.2 -20.8 568,410.3 506,761.0	-14.0
Directo	28,132.3 22,593.5 -22.0 307,284.8 285,618.5	-10.4
Indirecto	12,882.6 10,845.7 -18.2 261,125.5 221,142.5	-18.3
Inversión financiera y otros 2_/ 5_/	-2,257.4 2,057.1 n.s. 66,391.7 147,524.3	114.3
No programable	85,845.8 87,104.9 -1.5 1,299,805.0 1,322,420.2	-1.9
Costo financiero	14,992.2 16,181.0 4.8 453,338.0 499,164.4	6.2
Intereses, comisiones y gastos	14,992.2 16,181.0 4.8 415,169.5 447,824.6	4.0
Gobierno Federal	8,122.1 8,435.0 0.9 281,827.5 320,336.9	9.6
Sector paraestatal	6,870.1 7,746.1 9.5 133,342.1 127,487.6	-7.8
Apoyo a ahorradores y deudores	0.0 0.0 n.s. 38,168.5 51,339.9	29.7
IPAB	0.0 0.0 n.s. 38,168.5 45,431.7	14.8
Otros	0.0 0.0 n.s. 0.0 5,908.2	n.s.
Participaciones	68,078.1 71,087.5 1.4 776,813.4 812,052.2	0.8
Adefas y otros6_/	2,775.5 -163.6 n.s. 69,653.6 11,203.6	-84.5
C. Balance presupuestario (A – B)	-19,127.7 -4,272.8 n.s. -310,168.1 -216,580.7	n.s.
D. Balance no presupuestario	-21,778.0 -8,848.3 n.s. -5,906.1 49,408.3	n.s.
E. Balance público (C + D) = (F + G)	-40,905.7 -13,121.1 n.s. -316,074.2 -167,172.3	n.s.
Balance público sin inversión7_/	-1,396.7 20,016.3 n.s. 153,756.0 329,863.6	106.9
F. Recursos externos	-7,027.3 6,154.1 n.s. 169,528.9 105,043.5	-40.3
G. Recursos internos	47,933.0 6,967.0 -85.9 146,545.3 62,128.8	-59.1
Partidas informativas		
Ingresos tributarios	245,210.0 236,214.5 -6.5 2,790,797.4 2,921,522.6	0.9
Ingresos no tributarios	190,126.0 237,223.6 21.2 1,865,333.2 1,919,606.9	-0.8
