""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Compromiso	
""		Otras	
""			
Estructura por Plazo	477.4	2.9 17.3	497.6
Largo Plazo	475.1	2.9 17.3	495.3
Corto Plazo	2.3	0.0 0.0	2.3
Estructura por Usuario	477.4	2.9 17.3	497.6
Gobierno Federal	400.4	1.1 4.7	406.2
Empresas Productivas del Estado 1_/	34.1	1.8 12.6	48.5
Banca de Desarrollo	42.9	0.0 0.0	42.9
Estructura por Fuente de Financiamiento	477.4	2.9 17.3	497.6
Mercado de Capitales	290.2	0.0 15.5	305.7
Organismos Financieros Internacionales (OFI’s)	156.2	1.1 1.8	159.1
Comercio Exterior	0.5	0.0 0.0	0.5
Mercado Bancario	24.8	1.8 0.0	26.6
Pidiregas	5.7	0.0 0.0	5.7
