""			
Concepto	Intereses		
""		Comisiones	
""		y Gastos	Total
""			
Estructura por Plazo	13,510.0	162.0	13,672.0
Largo Plazo	9,875.2	162.0	10,037.2
Corto Plazo	3,634.8	0.0	3,634.8
Estructura por Usuario	13,510.0	162.0	13,672.0
Gobierno Federal	9,784.2	161.9	9,946.1
Largo Plazo	6,387.6	161.9	6,549.5
Corto Plazo	3,396.6	0.0	3,396.6
Empresas Productivas del Estado 1_/	2,338.6	0.1	2,338.7
Largo Plazo	2,183.5	0.1	2,183.6
Corto Plazo	155.1	0.0	155.1
Banca de Desarrollo	1,387.2	0.0	1,387.2
Largo Plazo	1,304.1	0.0	1,304.1
Corto Plazo	83.1	0.0	83.1
Estructura por Fuente de Financiamiento	13,510.0	162.0	13,672.0
Emisión de Valores	10,964.5	114.4	11,078.9
Fondo de Ahorro S.A.R.	267.1	0.0	267.1
Banca Comercial	1,031.2	0.0	1,031.2
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0	0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0	0.0
Bonos de Pensión CFE  4_/	251.5	0.0	251.5
Otros	995.7	47.6	1,043.3
