1. Ingresos			
presupuestarios	4,220.8	4,367.7	-0.3
2. Ingresos tributarios	2,545.6	2,685.3	1.6
3. Ingresos tributarios sin			
IEPS de combustibles	2,398.6	2,438.7	-2.0
4. Gasto neto total sin			
erogaciones en			
inversiones			
financieras, pago de			
pensiones,			
participaciones y			
costo financiero	2,640.5	2,500.1	-8.8
5. Gasto neto total sin			
erogaciones en			
inversiones			
financieras, pago de			
pensiones y			
participaciones	3,078.8	2,983.1	-6.6
6. Gasto neto total sin			
erogaciones en			
inversiones financieras	4,443.2	4,434.2	-3.8
7. Gasto neto total	4,511.8	4,579.7	-2.2
8. Gasto corriente			
estructural	1,855.0	1,794.7	-6.8
9. Balance primario	156.2	296.5	82.9
10. RFSP	-303.2	-196.0	n.a.
11. SHRFSP	10,295.9	10,559.9	-1.2
12. Deuda pública	10,517.6	10,931.8	0.1
