""
""	Ingresospresupuestarios			429,295.2			391,173.			-11.6						4,220,794.7			4,367,691.4			-0.3																							
""	Petroleros1_/	84,098.2	52,011.7	-40.0		798,008.2	759,649.8	-8.3															
""	Gobierno Federal			46,962.5			34,355.			-29.0						452,399.9			363,869.1			-22.5	
""	Pemex2_/			37,135.7			17,656.7			-53.8						345,608.3			395,780.7			10.3	
""	No petroleros			345,197.0			339,161.7			-4.6						3,422,786.5			3,608,041.6			1.6	
""	Gobierno Federal			268,406.1			263,995.2			-4.5						2,771,803.6			2,913,011.4			1.3	
""	Tributarios			246,301.7			239,800.			-5.5						2,545,587.6			2,685,266.0			1.6	
""	No tributarios			22,104.4			24,194.8			6.2						226,216.0			227,745.4			-3.0	
""	Organismos de control presupuestario directo			34,531.0			35,098.8			-1.3						328,860.5			347,120.1			1.7	
""	IMSS			30,072.2			30,841.			-0.4						285,466.2			310,461.1			4.8	
""	ISSSTE			4,458.8			4,256.			-7.3						43,394.4			36,658.9			-18.6	
""	Empresa Productiva del Estado ( CFE )			42,259.9			40,067.7			-8.0						322,122.3			347,910.2			4.1	
""	B. Gasto neto pagado			401,208.8			392,278.			-5.1						4,511,835.2			4,579,677.2			-2.2	
""																							
""	Programable	330,908.2	327,113.3	-4.0		3,297,876.0	3,344,300.1	-2.3															
""	Gasto de operación			154,501.3			152,011.			-4.5						1,454,344.7			1,428,534.2			-5.4	
""	Servicios personales3_/			98,439.1			91,063.8			-10.2						922,821.3			911,222.8			-4.9	
""	Otros gastos de operación			56,062.2			60,947.2			5.5						531,523.4			517,311.5			-6.2	
""	Pensiones y jubilaciones			73,518.5			72,823.			-3.8						655,608.9			710,198.2			4.4	
""	Subsidios y transferencias y aportaciones4_/			53,149.9			45,910.1			-16.2						561,095.1			557,731.6			-4.2	
""	Ayudas y otros gastos			374.6			4,807.8			-o-						30,782.8			29,042.3			-9.1	
""	Inversión física3_/			52,825.4			51,151.8			-6.0						527,395.5			473,326.6			-13.5	
""	Directo			28,730.4			30,757.5			3.9						279,152.6			263,029.8			-9.2	
""	Indirecto			24,095.1			20,394.2			-17.8						248,242.9			210,296.8			-18.4	
""	Inversión financiera y otros 2_/ 5_/			-3,461.5			408.			n.s.						68,649.0			145,467.2			104.2	
""	No programable			70,300.6			65,165.3			-10.0						1,213,959.1			1,235,377.1			-1.9	
""	Costo financiero			17,060.9			18,096.			3.0						438,345.8			482,983.4			6.2	
""	Intereses, comisiones y gastos			17,060.9			18,096.			3.0						400,177.3			431,643.5			3.9	
""	Gobierno Federal			12,612.3			15,070.1			16.0						273,705.3			311,902.0			9.8	
""	Sector paraestatal			4,448.6			3,026.5			-34.0						126,472.0			119,741.6			-8.8	
""	Apoyo a ahorradores y deudores			0.0			0.			n.s.						38,168.5			51,339.9			29.6	
""	IPAB			0.0			0.			n.s.						38,168.5			45,431.7			14.7	
""	Otros			0.0			0.			n.s.						0.0			5,908.2			n.s.	
""	Participaciones			55,949.1			48,727.5			-15.5						708,735.2			740,919.5			0.7	
""	Adefas y otros6_/			-2,709.3			-1,658.			n.s.						66,878.1			11,474.2			-83.5	
""	C. Balance presupuestario (A – B)			28,086.3			-1,105.1			n.s.						-291,040.5			-211,985.8			n.s.	
""																							
""	D. Balance no presupuestario	7,764.0	7,280.	-9.0		15,872.0	57,934.6	251.7															
""	E. Balance público (C + D) = (F + G)			35,850.4			6,175.			-83.3						-275,168.5			-154,051.2			n.s.	
""	Balance público sin inversión7_/			87,862.4			57,045.6			-37.0						195,183.7			317,731.9			56.8	
""																							
""	F. Recursos externos	6,659.3	-3,887.8	n.s.		176,556.2	99,257.3	-45.8															
""	G. Recursos internos			-42,509.6			-2,287.3			n.s.						98,612.3			54,793.9			-46.5	
""	Partidas informativas																						
""	Ingresos tributarios			246,301.7			239,800.3			-5.5						2,545,587.4			2,685,308.2			1.6	
""	Ingresos no tributarios			182,993.4			151,373.1			-19.7						1,675,207.3			1,682,383.2			-3.2	
