""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	1,067.8	1.0 311.4	1,380.2
Largo Plazo	1,050.6	1.0 311.4	1,363.0
Corto Plazo	17.2	0.0 0.0	17.2
Estructura por Usuario	1,067.8	1.0 311.4	1,380.2
Gobierno Federal	307.2	0.2 4.9	312.3
Empresas Productivas del Estado 1_/	746.9	0.5 306.5	1,053.9
Banca de Desarrollo	13.7	0.3 0.0	14.0
Estructura por Fuente de Financiamiento	1,067.8	1.0 311.4	1,380.2
Mercado de Capitales	952.5	0.0 311.0	1,263.5
Organismos Financieros Internacionales (OFI’s)	32.9	0.5 0.2	33.6
Comercio Exterior	7.9	0.0 0.2	8.1
Mercado Bancario	38.4	0.5 0.0	38.9
Pidiregas	36.1	0.0 0.0	36.1
