""		
""		Comisiones
Concepto	Intereses	Total y Gastos
""		
Estructura por Plazo	23,705.7	630.9 24,336.6
Largo Plazo	20,166.0	613.4 20,779.4
Corto Plazo	3,539.7	17.5 3,557.2
Estructura por Usuario	23,705.7	630.9 24,336.6
Gobierno Federal	17,992.7	613.4 18,606.1
Largo Plazo	14,664.3	613.4 15,277.7
Corto Plazo	3,328.4	0.0 3,328.4
Empresas Productivas del Estado 1_/	3,770.0	17.5 3,787.5
Largo Plazo	3,627.1	0.0 3,627.1
Corto Plazo	142.9	17.5 160.4
Banca de Desarrollo	1,943.0	0.0 1,943.0
Largo Plazo	1,874.6	0.0 1,874.6
Corto Plazo	68.4	0.0 68.4
Estructura por Fuente de Financiamiento	23,705.7	630.9 24,336.6
Emisión de Valores	22,051.9	571.1 22,623.0
Fondo de Ahorro S.A.R.	266.1	0.0 266.1
Banca Comercial	518.4	17.5 535.9
Obligaciones por Ley del ISSSTE 2_/	0.0	0.0 0.0
Bonos de Pensión PEMEX  3_/	0.0	0.0 0.0
Bonos de Pensión CFE  4_/	0.0	0.0 0.0
Otros	869.3	42.3 911.6
