""	Enero-septiembre		Anual		Avance % respecto a:
""	Variación		2019		2019
Concepto					
""	2018 2019p_/ % real	2018	Programa1_/ Estimado2_/	2018	Programa1_/ Estimado2_/
""	(1) (2) (2/1)	(3)	(4) (5)	(1/3)	(2/4) (2/5)
""					
1. Ingresos					
""	3,791.5 3,976.5 1.0	5,115.1	5,298.2 5,360.0	74.1	75.1 74.2
presupuestarios					
2. Ingresos tributarios	2,299.3 2,445.5 2.4	3,062.3	3,311.4 3,237.2	75.1	73.9 75.5
3. Ingresos tributarios sin					
""	2,170.7 2,226.5 -1.3	2,874.7	3,042.1 2,933.4	75.5	73.2 75.9
IEPS de combustibles					
4. Gasto neto total sin					
erogaciones en					
inversiones					
financieras, pago de	2,382.4 2,247.6 -9.2	3,232.0	3,209.7 3,184.1	73.7	70.0 70.6
pensiones,					
participaciones y					
costo financiero					
5. Gasto neto total sin					
erogaciones en					
inversiones					
""	2,803.6 2,712.5 -6.9	3,847.1	3,958.8 3,892.9	72.9	68.5 69.7
financieras, pago de					
pensiones y					
participaciones					
6. Gasto neto total sin					
erogaciones en	4,038.5 4,042.0 -3.6	5,483.8	5,756.1 5,679.7	73.6	70.2 71.2
inversiones financieras					
7. Gasto neto total	4,110.6 4,187.0 -1.9	5,589.4	5,802.0 5,827.1	73.5	72.2 71.9
8. Gasto corriente					
69.7 estructural	1,665.4 1,612.0 -6.8	2,304.1	2,314.2 2,314.2	72.3	69.7
9. Balance primario	114.2 279.9 135.9	141.4	245.7 242.3	80.8	113.9 115.5
10. RFSP	-304.6 -172.5 n.a.	-517.0	-629.0 -681.0	58.9	27.4 25.3
11. SHRFSP	10,156.4 10,692.3 1.3	10,551.7	11,288.3 11,245.7	96.3	94.7 95.1
12. Deuda pública	10,366.8 11,035.8  2.5	10,829.9	11,363.9 11,378.0	95.7	97.1 97.0
