""		
""	SITUACIÓN FINANCIERA DEL SECTOR PÚBLICO	
""	(Millones de pesos)	
""	Septiembre Enero-septiembre	
Concepto	Crec. 2018 2019p_/ Crec. 2018 2019p_/	
""	real % real %	
""		
A. Ingresos presupuestarios	374,623.0 496,617.4 28.7 3,791,499.5 3,976,514.2	1.0
Petroleros1_/	59,744.6 161,484.5 162.4 713,910.1 707,638.1	-4.6
Gobierno Federal	45,666.0 32,997.1 -29.8 405,437.4 329,514.1	-21.8
Pemex2_/	14,078.6 128,487.4 -o- 308,472.6 378,124.0	18.0
No petroleros	314,878.3 335,132.9 3.3 3,077,589.5 3,268,876.2	2.3
Gobierno Federal	242,187.5 261,776.1 4.9 2,503,397.5 2,649,016.2	1.9
Tributarios	231,814.5 242,879.7 1.7 2,299,285.9 2,445,465.5	2.4
No tributarios	10,373.0 18,896.4 76.9 204,111.6 203,550.6	-4.0
Organismos de control presupuestario directo	34,159.3 35,299.8 0.3 294,329.6 312,017.5	2.1
IMSS	29,824.2 32,395.5 5.5 255,394.0 279,619.3	5.4
ISSSTE	4,335.1 2,904.3 -35.0 38,935.6 32,398.2	-19.9
Empresa Productiva del Estado ( CFE )	38,531.5 38,057.0 -4.1 279,862.4 307,842.5	5.9
B. Gasto neto pagado	455,067.0 538,049.2 14.8 4,110,626.3 4,187,016.4	-1.9
Programable	357,701.6 426,921.9 15.9 2,966,967.8 3,016,895.4	-2.1
Gasto de operación	148,114.6 144,794.8 -5.1 1,299,843.4 1,276,208.4	-5.5
Servicios personales3_/	89,625.8 91,086.1 -1.3 824,382.3 820,167.8	-4.2
Otros gastos de operación	58,488.8 53,708.7 -10.8 475,461.2 456,040.5	-7.7
Pensiones y jubilaciones	54,467.5 64,459.8 14.9 582,090.3 637,374.5	5.4
Subsidios y transferencias y aportaciones4_/	42,728.8 65,555.6 49.0 507,945.3 511,839.0	-3.0
Ayudas y otros gastos	446.1 5,135.0 -o- 30,408.2 24,240.7	-23.3
Inversión física3_/	50,921.3 48,810.5 -6.9 474,570.0 422,174.5	-14.4
Directo	30,232.4 28,207.3 -9.4 250,422.2 232,272.0	-10.7
Indirecto	20,688.8 20,603.3 -3.3 224,147.8 189,902.5	-18.4
Inversión financiera y otros 5_/	61,023.3 98,166.2 56.2 72,110.5 145,058.3	93.7
No programable	97,365.4 111,127.2 10.8 1,143,658.5 1,170,121.0	-1.5
Costo financiero	32,466.7 40,778.9 21.9 421,284.9 464,886.8	6.2
Intereses, comisiones y gastos	32,466.7 40,778.9 21.9 383,116.4 413,546.9	3.9
Gobierno Federal	15,886.3 22,407.2 36.9 261,093.0 296,831.9	9.4
Sector paraestatal	16,580.3 18,371.7 7.6 122,023.4 116,715.1	-7.9
Apoyo a ahorradores y deudores	0.0 0.0 n.s. 38,168.5 51,339.9	29.5
IPAB	0.0 0.0 n.s. 38,168.5 45,431.7	14.6
Otros	0.0 0.0 n.s. 0.0 5,908.2	n.s.
Participaciones	66,173.4 66,857.7 -1.9 652,786.2 692,101.1	2.1
Adefas y otros6_/	-1,274.7 3,490.6 n.s. 69,587.4 13,133.1	-81.8
C. Balance presupuestario (A – B)	-80,444.0 -41,431.8 n.s. -319,126.8 -210,502.1	n.s.
D. Balance no presupuestario	265.0 -688.8 n.s. 8,107.9 50,275.8	497.0
E. Balance público (C + D) = (F + G)	-80,179.1 -42,120.5 n.s. -311,018.9 -160,226.3	n.s.
Balance público sin inversión7_/	-29,756.9 6,429.2 n.s. 159,333.3 260,686.0	57.5
F. Recursos externos	36,080.4 -92,942.4 n.s. 169,896.9 107,468.9	-39.1
G. Recursos internos	44,098.7 135,063.0 197.4 141,121.9 52,757.4	-64.0
Partidas informativas		
Ingresos tributarios	231,815.3 242,879.8 1.7 2,299,285.7 2,445,507.9	2.4
Ingresos no tributarios	142,807.6 253,737.6 72.5 1,492,213.9 1,531,006.4	-1.2
